"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","FullTextURL","RelatedURL"
"115",72,"W Javed, N Elmqvist","Stack zooming for multi-focus interaction in time-series data visualization",2010,"2010 IEEE Pacific Visualization …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/5429613/","https://scholar.google.com/scholar?cites=14566305371044555338&as_sdt=2005&sciodt=0,5&hl=en",17,"2023-02-22 14:54:27","","",NA,NA,NA,NA,NA,NA,72,5.54,36,2,13,"Information visualization shows tremendous potential for helping both expert and casual users alike make sense of temporal data, but current time series visualization tools provide …","https://ieeexplore.ieee.org/iel5/5426441/5429587/05429613.pdf","https://scholar.google.com/scholar?q=related:Sqr5Mo_pJcoJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"116",8,"G Bisson, R Blanch","Stacked trees: A new hybrid visualization method",2012,"… of the International Working Conference on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2254556.2254690","https://scholar.google.com/scholar?cites=5147489709701934946&as_sdt=2005&sciodt=0,5&hl=en",57,"2023-02-22 14:54:27","","10.1145/2254556.2254690",NA,NA,NA,NA,NA,NA,8,0.73,4,2,11,"Stacked trees Page 1 Stacked Trees: a New Hybrid Visualization Method Gilles Bisson CNRS - AMA team LIG laboratory - UMR 5217 UFR IM2AG - BP 53 - F-38041 Grenoble …","https://dl.acm.org/doi/pdf/10.1145/2254556.2254690","https://scholar.google.com/scholar?q=related:Yi_DT56Ob0cJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"117",0,"RS Kattinakere","Steering in layers above the display surface",2008,"","library-archives.canada.ca","https://library-archives.canada.ca/eng/services/services-libraries/theses/Pages/item.aspx?idNumber=1032951244","",138,"2023-02-22 14:54:27","","",NA,NA,NA,NA,NA,NA,0,0,0,1,15,"Interaction techniques that use the layers above the display surface to extend the functionality of pen-based digitized surfaces continue to emerge. In such techniques, stylus …","https://central.bac-lac.gc.ca/.item?id=TC-SSU-07272008163725&op=pdf&app=Library&oclc_number=1032951244","https://scholar.google.com/scholar?q=related:qfe6n44aiyUJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"118",0,"U Rüegg","Sugiyama layouts for prescribed drawing areas",2018,"","macau.uni-kiel.de","https://macau.uni-kiel.de/receive/macau_mods_00002268?lang=en","",115,"2023-02-22 14:54:27","","",NA,NA,NA,NA,NA,NA,0,0,0,1,5,"The area of graph drawing is concerned with positioning the elements of a graph on a canvas such that the resulting drawing is well-readable by humans and aids their execution …","https://macau.uni-kiel.de/servlets/MCRFileNodeServlet/macau_derivate_00003364/kcss_2018_01_print.pdf","https://scholar.google.com/scholar?q=related:qNyj4GFe5mEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"119",2,"RC Rozo","Suivi de l'engagement des apprenants lors de la construction de cartes mentales à partir de traces d'interaction",2019,"","theses.hal.science","https://theses.hal.science/tel-02159628/","https://scholar.google.com/scholar?cites=17718478476886102527&as_sdt=2005&sciodt=0,5&hl=en",104,"2023-02-22 14:54:27","","",NA,NA,NA,NA,NA,NA,2,0.5,2,1,4,"A la différence de l'apprentissage par mémorisation (rote learning), l'apprentissage significatif (meaningful learning) vise à associer de nouvelles connaissances à des …","https://theses.hal.science/tel-02159628/document","https://scholar.google.com/scholar?q=related:_1EzV0yu5PUJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"120",44,"G Shoemaker, C Gutwin","Supporting multi-point interaction in visual workspaces",2007,"Proceedings of the SIGCHI conference on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/1240624.1240777","https://scholar.google.com/scholar?cites=9938673536588105670&as_sdt=2005&sciodt=0,5&hl=en",32,"2023-02-22 14:54:27","","10.1145/1240624.1240777",NA,NA,NA,NA,NA,NA,44,2.75,22,2,16,"Multi-point interaction tasks involve the manipulation of several mutually-dependent control points in a visual workspace--for example, adjusting a selection rectangle in a drawing …","https://dl.acm.org/doi/pdf/10.1145/1240624.1240777","https://scholar.google.com/scholar?q=related:xsfoluxC7YkJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"121",0,"J Hollan","TIMELINES Multiscale zooming interfaces",NA,"interactionsdev.acm.org","","http://interactionsdev.acm.org/archive/view/january-february-2011/timelines-multiscale-zooming-interfaces1","",111,"2023-02-22 14:54:27","HTML","",NA,NA,NA,NA,NA,NA,0,0,0,1,NA,"Editor's note: I first worked with Jim Hollan as a grad student. I was a teaching assistant in the cognitive psychology laboratory course at UCSD 31 years ago. I worked for him again in …","http://interactionsdev.acm.org/archive/view/january-february-2011/timelines-multiscale-zooming-interfaces1","https://scholar.google.com/scholar?q=related:wgWWXJ3o8tkJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"122",4,"JD Hollan","TIMELINES Multiscale zooming interfaces: a brief personal perspective on the design of cognitively convivial interaction",2011,"Interactions","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/1897239.1897255","https://scholar.google.com/scholar?cites=17790093294907928797&as_sdt=2005&sciodt=0,5&hl=en",74,"2023-02-22 14:54:27","","10.1145/1897239.1897255",NA,NA,NA,NA,NA,NA,4,0.33,4,1,12,"ACM: Digital Library: interactions ACM Digital Library interactions Volume 18, Number 1 (2011), Pages 71-74 TIMELINES Multiscale zooming interfaces: a brief personal perspective on the …","https://dl.acm.org/doi/pdf/10.1145/1897239.1897255","https://scholar.google.com/scholar?q=related:3bALhJgb4_YJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"123",0,"C Verbruggen, UA SAP, B van Dijk, P van der Vet","Task Completion by Flow",2007,"","gerritvanderveerprijs.nl","http://gerritvanderveerprijs.nl/wp-content/themes/gerrit/docs/Verbruggen_UT_Scriptie.pdf","",141,"2023-02-22 14:54:27","PDF","",NA,NA,NA,NA,NA,NA,0,0,0,4,16,"For various good reasons, many businesses are moving from traditional desktop applications towards web based applications. But especially in web based applications, the …","http://gerritvanderveerprijs.nl/wp-content/themes/gerrit/docs/Verbruggen_UT_Scriptie.pdf","https://scholar.google.com/scholar?q=related:ZHv7ZosrZ60J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"124",3,"H Ichihara, T Inoue","Test generation for acyclic sequential circuits with single stuck-at fault combinational ATPG",2003,"2003 Design, Automation and Test in …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/1253790/","https://scholar.google.com/scholar?cites=10039167478034729760&as_sdt=2005&sciodt=0,5&hl=en",92,"2023-02-22 14:54:27","","",NA,NA,NA,NA,NA,NA,3,0.15,2,2,20,"An existing test generation method with a time-expansion model can achieve high fault efficiency for acyclic sequential circuits. While this model is a combinational circuit, a single …","https://ieeexplore.ieee.org/iel5/8443/26600/01253790.pdf","https://scholar.google.com/scholar?q=related:IAvqqKFJUosJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
