"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","FullTextURL","RelatedURL"
"91",224,"W Horton","Designing and writing online documentation: Help files to hypertext",1990,"","dl.acm.org","https://dl.acm.org/doi/abs/10.5555/77488","https://scholar.google.com/scholar?cites=12151012435349775410&as_sdt=2005&sciodt=0,5&hl=en",483,"2023-02-22 14:50:27","BOOK","10.5555/77488",NA,NA,NA,NA,NA,NA,224,6.79,224,1,33,"Documentation is hard. This truism is accepted by several groups, including those who make a living documenting products created by others, those who must attempt to document …","","https://scholar.google.com/scholar?q=related:MqRgXm4RoagJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"92",224,"J Hindmarsh, M Fraser, C Heath, S Benford…","Object-focused interaction in collaborative virtual environments",2000,"ACM Transactions on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/365058.365088","https://scholar.google.com/scholar?cites=17152316529679904489&as_sdt=2005&sciodt=0,5&hl=en",297,"2023-02-22 14:50:27","","10.1145/365058.365088",NA,NA,NA,NA,NA,NA,224,9.74,45,5,23,"This paper explores and evaluates the support for object-focused interaction provided by a desktop Collaborative Virtual Environment. An experimental “design” task was conducted …","https://dl.acm.org/doi/pdf/10.1145/365058.365088","https://scholar.google.com/scholar?q=related:6a6hwgFFCe4J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"93",221,"TA Keahey, EL Robertson","Techniques for non-linear magnification transformations",1996,"Proceedings IEEE Symposium on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/559214/","https://scholar.google.com/scholar?cites=8363345778507373235&as_sdt=2005&sciodt=0,5&hl=en",354,"2023-02-22 14:50:27","","",NA,NA,NA,NA,NA,NA,221,8.19,111,2,27,"This paper presents efficient methods for implementing general non-linear magnification transformations. Techniques are provided for: combining linear and non-linear …","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=0948b9e4d6b21e62e2d5b0750abf2a2d2334e0d9","https://scholar.google.com/scholar?q=related:s9qxtaySEHQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"94",220,"S Björk, LE Holmquist, J Redström, I Bretan…","WEST: a Web browser for small terminals",1999,"Proceedings of the 12th …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/320719.322601","https://scholar.google.com/scholar?cites=1328993023371415887&as_sdt=2005&sciodt=0,5&hl=en",403,"2023-02-22 14:50:27","","10.1145/320719.322601",NA,NA,NA,NA,NA,NA,220,9.17,44,5,24,"We describe WEST, a WEb browser for Small Terminals, that aims to solve some of the problems associated with accessing web pages on hand-held devices. Through a novel …","https://dl.acm.org/doi/pdf/10.1145/320719.322601","https://scholar.google.com/scholar?q=related:T5EGCx2IcRIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"95",217,"H Lieberman","A multi-scale, multi-layer, translucent virtual space",1997,"Proceedings. 1997 IEEE Conference on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/626499/","https://scholar.google.com/scholar?cites=1019784111265993024&as_sdt=2005&sciodt=0,5&hl=en",251,"2023-02-22 14:50:27","","",NA,NA,NA,NA,NA,NA,217,8.35,217,1,26,"The dynamic nature of virtual display spaces can provide powerful tools for helping people comprehend phenomena that occur over widely disparate spatial scales. This paper …","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=6f758c28e10953700c39cdec102bc3d2958a985a","https://scholar.google.com/scholar?q=related:QNGYAz8AJw4J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"96",217,"ER Gansner, Y Koren, SC North","Topological fisheye views for visualizing large graphs",2005,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/1432691/","https://scholar.google.com/scholar?cites=10818920515717865964&as_sdt=2005&sciodt=0,5&hl=en",290,"2023-02-22 14:50:27","","",NA,NA,NA,NA,NA,NA,217,12.06,72,3,18,"Graph drawing is a basic visualization tool that works well for graphs having up to hundreds of nodes and edges. At greater scale, data density and occlusion problems often negate its …","https://ieeexplore.ieee.org/iel5/2945/30888/01432691.pdf","https://scholar.google.com/scholar?q=related:7KGMUOOGJJYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"97",216,"A Spoerri","InfoCrystal: A visual tool for information retrieval &management",1993,"Proceedings of the second international conference on …","dl.acm.org","https://dl.acm.org/doi/pdf/10.1145/170088.170095","https://scholar.google.com/scholar?cites=222722955159695296&as_sdt=2005&sciodt=0,5&hl=en",362,"2023-02-22 14:50:27","PDF","10.1145/170088.170095",NA,NA,NA,NA,NA,NA,216,7.2,216,1,30,"This paper introduces a novel representation, called the InfoCrystalTM, that can be used as a visualization tool as well as a visual query language to help users search for information …","https://dl.acm.org/doi/pdf/10.1145/170088.170095","https://scholar.google.com/scholar?q=related:wG-eAVlFFwMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"98",216,"GW Furnas, J Zacks","Multitrees: enriching and reusing hierarchical structure",1994,"Proceedings of the SIGCHI conference on Human …","dl.acm.org","https://dl.acm.org/doi/pdf/10.1145/191666.191778","https://scholar.google.com/scholar?cites=6664194841169381182&as_sdt=2005&sciodt=0,5&hl=en",321,"2023-02-22 14:50:27","PDF","10.1145/191666.191778",NA,NA,NA,NA,NA,NA,216,7.45,108,2,29,"This paper introduces multitrees, anew type of structure for representing information. Multitrees are a class of directed acyclic graphs (DAGs) with the unusual property that they …","https://dl.acm.org/doi/pdf/10.1145/191666.191778","https://scholar.google.com/scholar?q=related:PkfkTeb5e1wJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"99",215,"KC Malcolm, SE Poltrock, D Schuler","Industrial strength hypermedia: Requirements for a large engineering enterprise",1991,"Proceedings of the third annual …","dl.acm.org","https://dl.acm.org/doi/pdf/10.1145/122974.122977","https://scholar.google.com/scholar?cites=10765113316902741852&as_sdt=2005&sciodt=0,5&hl=en",607,"2023-02-22 14:50:27","PDF","10.1145/122974.122977",NA,NA,NA,NA,NA,NA,215,6.72,72,3,32,"Current hypermedia tools do not support the needs of collaborative work groups in distributed heterogeneous environments and cannot be integrated into the existing and …","https://dl.acm.org/doi/pdf/10.1145/122974.122977","https://scholar.google.com/scholar?q=related:XKfQlIZdZZUJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"100",215,"S Baluja","Browsing on small screens: recasting web-page segmentation into an efficient machine learning framework",2006,"Proceedings of the 15th international conference on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/1135777.1135788","https://scholar.google.com/scholar?cites=14357471272028374484&as_sdt=2005&sciodt=0,5&hl=en",296,"2023-02-22 14:50:27","","10.1145/1135777.1135788",NA,NA,NA,NA,NA,NA,215,12.65,215,1,17,"Fitting enough information from webpages to make browsing on small screens compelling is a challenging task. One approach is to present the user with a thumbnail image of the full …","https://dl.acm.org/doi/pdf/10.1145/1135777.1135788","https://scholar.google.com/scholar?q=related:1IUggg38P8cJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
